iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy
AFG,Asia,Afghanistan,174331.0,7622.0,4376.28,191.337,39835428.0,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83
OWID_AFR,,Africa,11268386.0,249206.0,8204.221,181.44,1373486472.0,,,,,,,,
ALB,Europe,Albania,272030.0,3478.0,94687.173,1210.609,2872934.0,104.871,38.0,13.188,8.643,11803.431,304.195,10.08,78.57
DZA,Africa,Algeria,265227.0,6853.0,5944.578,153.597,44616626.0,17.348,29.1,6.211,3.857,13913.839,278.364,6.73,76.88
AND,Europe,Andorra,38434.0,151.0,496858.598,1952.065,77354.0,163.755,,,,,109.135,7.97,83.73
AGO,Africa,Angola,98796.0,1900.0,2911.45,55.992,33933611.0,23.89,16.8,2.405,1.362,5819.495,276.045,3.94,61.15
AIA,North America,Anguilla,2555.0,9.0,168925.62,595.041,15125.0,,,,,,,,81.88
ATG,North America,Antigua and Barbuda,7455.0,135.0,75510.493,1367.393,98728.0,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,77.02
ARG,South America,Argentina,8934328.0,126708.0,195903.229,2778.329,45605823.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,76.67
ARM,Asia,Armenia,421226.0,8528.0,141916.386,2873.191,2968128.0,102.931,35.7,11.232,7.571,8787.58,341.01,7.11,75.09
ABW,North America,Aruba,33732.0,212.0,314678.856,1977.704,107195.0,584.8,41.2,13.085,7.452,35973.781,,11.62,76.29
OWID_ASI,,Asia,120758420.0,1363608.0,25811.658,291.466,4678444992.0,,,,,,,,
AUS,Oceania,Australia,3362035.0,5416.0,130370.975,210.018,25788217.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,83.44
AUT,Europe,Austria,2839297.0,14986.0,313974.831,1657.18,9043072.0,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,81.54
AZE,Asia,Azerbaijan,788958.0,9500.0,77172.205,929.246,10223344.0,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,73.0
BHS,North America,Bahamas,33169.0,771.0,83567.221,1942.486,396914.0,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,73.92
BHR,Asia,Bahrain,525171.0,1458.0,300390.38,833.955,1748295.0,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,77.29
BGD,Asia,Bangladesh,1946737.0,29077.0,11705.93,174.843,166303494.0,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,72.59
BRB,North America,Barbados,56013.0,319.0,194686.974,1108.763,287708.0,664.463,39.8,14.952,9.473,16978.068,170.05,13.57,79.19
BLR,Europe,Belarus,929340.0,6550.0,98417.144,693.645,9442867.0,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,74.79
BEL,Europe,Belgium,3586292.0,30259.0,308303.733,2601.284,11632334.0,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,81.63
BLZ,North America,Belize,56876.0,651.0,140464.048,1607.745,404915.0,16.426,25.0,3.853,2.279,7824.362,176.957,17.11,74.62
BEN,Africa,Benin,26575.0,163.0,2134.361,13.091,12451031.0,99.11,18.8,3.244,1.942,2064.236,235.848,0.99,61.77
BMU,North America,Bermuda,11634.0,123.0,187367.133,1980.932,62092.0,1308.82,,,,50669.315,139.547,13.0,82.59
BTN,Asia,Bhutan,14451.0,7.0,18529.299,8.976,779900.0,21.188,28.6,4.885,2.977,8708.597,217.066,9.75,71.78
BOL,South America,Bolivia,894551.0,21455.0,75598.398,1813.159,11832936.0,10.202,25.4,6.704,4.393,6885.829,204.299,6.89,71.51
BES,North America,Bonaire Sint Eustatius and Saba,7616.0,31.0,287993.95,1172.244,26445.0,,,,,,,,77.79
BIH,Europe,Bosnia and Herzegovina,372139.0,15519.0,114032.075,4755.384,3263459.0,68.496,42.5,16.569,10.711,11713.895,329.635,10.08,77.4
BWA,Africa,Botswana,263950.0,2619.0,110105.788,1092.506,2397240.0,4.044,25.8,3.941,2.242,15807.374,237.372,4.81,69.59
BRA,South America,Brazil,29040800.0,652216.0,135708.832,3047.832,213993441.0,25.04,33.5,8.552,5.06,14103.452,177.961,8.11,75.88
VGB,North America,British Virgin Islands,6091.0,62.0,200210.367,2037.932,30423.0,207.973,,,,,,13.67,79.07
BRN,Asia,Brunei,84844.0,140.0,192158.213,317.078,441532.0,81.347,32.4,4.591,2.382,71809.251,201.285,12.79,75.86
BGR,Europe,Bulgaria,1100811.0,35811.0,159615.205,5192.517,6896655.0,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,75.05
BFA,Africa,Burkina Faso,20751.0,375.0,965.293,17.444,21497097.0,70.151,17.6,2.409,1.358,1703.102,269.048,2.42,61.58
BDI,Africa,Burundi,38150.0,38.0,3112.906,3.101,12255429.0,423.062,17.5,2.562,1.504,702.225,293.068,6.05,61.58
KHM,Asia,Cambodia,132072.0,3040.0,7793.493,179.389,16946446.0,90.672,25.6,4.412,2.385,3645.07,270.892,4.0,69.82
CMR,Africa,Cameroon,119322.0,1926.0,4382.929,70.746,27224262.0,50.885,18.8,3.165,1.919,3364.926,244.661,7.2,59.29
CAN,North America,Canada,3334009.0,36998.0,87580.556,971.895,38067913.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,82.43
CPV,Africa,Cape Verde,55892.0,401.0,99469.479,713.649,561901.0,135.58,25.7,4.46,3.437,6222.554,182.219,2.42,72.98
CYM,North America,Cayman Islands,19373.0,17.0,291332.07,255.647,66498.0,256.496,,,,49903.029,,13.22,83.92
CAF,Africa,Central African Republic,14320.0,113.0,2910.577,22.968,4919987.0,7.479,18.3,3.655,2.251,661.24,435.727,6.1,53.28
TCD,Africa,Chad,7257.0,190.0,429.028,11.233,16914985.0,11.833,16.7,2.486,1.446,1768.153,280.995,6.1,54.24
CHL,South America,Chile,3168335.0,42955.0,164911.269,2235.8,19212362.0,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,80.18
CHN,Asia,China,110868.0,4636.0,76.767,3.21,1444216102.0,147.674,38.7,10.641,5.929,15308.712,261.899,9.74,76.91
COL,South America,Colombia,6070616.0,139037.0,118414.443,2712.079,51265841.0,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,77.29
COM,Africa,Comoros,8047.0,160.0,9057.286,180.088,888456.0,437.352,20.4,2.963,1.726,1413.89,261.516,11.88,64.32
COG,Africa,Congo,24020.0,378.0,4246.054,66.82,5657017.0,15.405,19.0,3.402,2.063,4881.406,344.094,7.2,64.57
COK,Oceania,Cook Islands,2.0,,113.817,,17572.0,,,,,,,,76.25
CRI,North America,Costa Rica,814583.0,8082.0,158508.387,1572.663,5139053.0,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,80.28
CIV,Africa,Cote d'Ivoire,81546.0,795.0,3014.235,29.386,27053629.0,76.399,18.7,2.933,1.582,3601.006,303.74,2.42,57.78
HRV,Europe,Croatia,1062953.0,15194.0,260421.932,3722.508,4081657.0,73.726,44.0,19.724,13.053,22669.797,253.782,5.59,78.49
CUB,North America,Cuba,1072474.0,8499.0,94762.464,750.961,11317498.0,110.408,43.1,14.738,9.719,,190.968,8.27,78.8
CUW,North America,Curacao,39133.0,264.0,237463.288,1601.981,164796.0,362.644,41.7,16.367,10.068,,,11.62,78.88
CYP,Europe,Cyprus,331508.0,875.0,369984.542,976.557,896005.0,127.657,37.3,13.416,8.563,32415.132,141.171,9.24,80.98
CZE,Europe,Czechia,3624937.0,38892.0,338003.551,3626.445,10724553.0,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,79.38
COD,Africa,Democratic Republic of Congo,86154.0,1335.0,932.625,14.451,92377986.0,35.879,17.0,3.02,1.745,808.133,318.949,6.1,60.68
DNK,Europe,Denmark,2853236.0,4830.0,490811.59,830.853,5813302.0,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,80.9
